time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Volume,RSI,RSI-based MA,Histogram,MACD,Signal,ATR
2025-05-05T16:18:00-04:00,5667.5,5668.75,5667.25,5668.25,5680.308316,5692.400016,5668.216617,5704.491715,5656.124917,5716.583415,5644.033217,352,30.24566506,26.39949377,-0.46268509,-11.96870477,-11.50601968,3.299365068
2025-05-05T16:20:00-04:00,5668.25,5670.5,5668,5668.75,5680.299455,5692.390492,5668.208418,5704.481528,5656.117382,5716.572565,5644.026345,810,31.92996784,26.85571797,-0.136434078,-11.67656228,-11.5401282,3.242267564
2025-05-05T16:22:00-04:00,5668.75,5669,5667.5,5668,5680.291951,5692.383011,5668.200891,5704.474072,5656.109831,5716.565132,5644.018771,635,30.73128145,27.41867374,0.068434701,-11.45458482,-11.52301953,3.11781988
2025-05-05T16:24:00-04:00,5667.75,5668.25,5667,5667.75,5680.285548,5692.376883,5668.194213,5704.468219,5656.102877,5716.559554,5644.011542,521,30.32264453,27.70351901,0.231476796,-11.23367353,-11.46515033,2.984404175
2025-05-05T16:26:00-04:00,5667.75,5668,5667,5667.5,5680.281915,5692.373452,5668.190377,5704.46499,5656.098839,5716.556528,5644.007301,292,29.89455587,27.80856518,0.360150826,-11.01496179,-11.37511262,2.842661019
2025-05-05T16:28:00-04:00,5667.5,5667.75,5665.75,5667,5680.272354,5692.364907,5668.179801,5704.45746,5656.087248,5716.550012,5643.994695,731,29.01236127,28.13497757,0.437677792,-10.82801538,-11.26569317,2.782470947
2025-05-05T16:30:00-04:00,5666.75,5668,5666.5,5668,5680.264769,5692.357735,5668.171804,5704.4507,5656.078838,5716.543666,5643.985873,611,33.25472131,28.79672626,0.615694184,-10.49607544,-11.11176963,2.690865879
2025-05-05T16:32:00-04:00,5667.75,5667.75,5665.75,5666.75,5680.259254,5692.352833,5668.165676,5704.446411,5656.072097,5716.53999,5643.978519,420,30.77861882,29.37828635,0.644470797,-10.30618113,-10.95065193,2.659375459
2025-05-05T16:34:00-04:00,5666.5,5666.75,5665.25,5666.25,5680.249744,5692.344836,5668.154652,5704.439928,5656.05956,5716.53502,5643.964468,691,29.82209001,29.38340919,0.642970614,-10.14693866,-10.78990927,2.576562926
2025-05-05T16:36:00-04:00,5665.75,5667.5,5665.75,5667,5680.24525,5692.340836,5668.149664,5704.436422,5656.054078,5716.532008,5643.958492,343,33.17677909,29.8538473,0.735697091,-9.870287909,-10.605985,2.517522717
